ABT,Apr 6 1983
ABBV,Jan 2 2013
ACE,Mar 26 1993
ACN,Jul 19 2001
ACT,Feb 17 1993
ADBE,Aug 14 1986
ADT,Oct 1 2012
AES,Jun 26 1991
AET,Jan 2 1980
AFL,Jul 19 1984
AMG,Nov 21 1997
A,Nov 18 1999
GAS,Jan 2 1980
APD,Apr 6 1983
ARG,Dec 22 1986
AKAM,Oct 29 1999
AA,Jan 2 1980
ALXN,Feb 28 1996
ATI,Nov 29 1999
ALLE,Nov 18 2013
AGN,Jun 22 1989
ADS,Jun 15 2001
ALL,Jun 3 1993
ALTR,Apr 4 1988
MO,Jan 2 1980
AMZN,May 16 1997
AEE,Jan 2 1998
AEP,Jan 2 1980
AXP,Jan 2 1980
AIG,Sep 7 1984
AMT,Feb 27 1998
AMP,Sep 15 2005
ABC,Apr 4 1995
AME,Jul 19 1984
AMGN,Sep 7 1984
APH,Nov 8 1991
APC,Sep 9 1986
ADI,Jul 19 1984
AON,Sep 7 1984
APA,May 16 2006
AIV,Jul 22 1994
AAPL,Dec 12 1980
AMAT,Sep 7 1984
ADM,Mar 28 2014
AIZ,Feb 5 2004
T,Jul 19 1984
ADSK,Jun 14 2013
ADP,Oct 1 2003
AN,Mar 3 1992
AZO,Nov 6 2000
AVGO,Aug 6 2009
AVB,Oct 1 2003
AVY,Dec 29 1983
AVP,Jan 2 1980
BHI,Apr 7 1987
BLL,Sep 7 1984
BAC,May 29 1986
BK,Jan 2 1980
BCR,Apr 6 1983
BAX,Oct 27 1981
BBT,Mar 26 1990
BDX,Apr 6 1983
BBBY,Jun 5 1992
BMS,Sep 7 1984
BRK-B,May 9 1996
BBY,Apr 19 1985
BIIB,Sep 17 1991
BLK,Oct 1 1999
HRB,Nov 12 1986
BA,Jan 2 1980
BWA,Aug 13 1993
BXP,Jun 18 1997
BSX,May 19 1992
BMY,Jan 2 1980
BRCM,Apr 17 1998
BF-B,Sep 7 1984
CHRW,Oct 16 1997
CA,Sep 7 1984
CVC,Mar 17 1992
COG,Feb 8 1990
CAM,Jul 5 1995
CPB,Jul 1 1985
COF,Nov 16 1994
CAH,Dec 31 1987
CFN,Aug 21 2009
KMX,Feb 4 1997
CCL,Jan 5 1989
CAT,Jan 2 1980
CBG,Jun 10 2004
CBS,Dec 5 2005
CELG,Mar 26 1990
CNP,Jan 2 1980
CTL,Nov 5 1987
CERN,Mar 26 1990
CF,Aug 11 2005
SCHW,Jun 30 1989
CHK,Feb 16 1993
CVX,Jan 2 1980
CMG,Jan 26 2006
CB,Sep 7 1984
CI,Mar 31 1982
XEC,Sep 25 2002
CINF,Mar 26 1990
CTAS,Mar 26 1990
CSCO,Mar 26 1990
C,Jan 2 1980
CTXS,Dec 8 1995
CLX,Mar 21 1983
CME,Dec 6 2002
CMS,Dec 31 1984
COH,Oct 6 2000
KO,Jan 2 1980
CCE,Nov 24 1986
CTSH,Jun 19 1998
CL,Jan 2 1980
CMCSA,Jul 7 1988
CMA,Mar 26 1990
CSC,Dec 31 1981
CAG,Sep 7 1984
COP,Dec 31 1981
CNX,Apr 30 1999
ED,Jan 2 1980
STZ,Mar 17 1992
GLW,Dec 31 1981
COST,Jul 9 1986
COV,Jun 14 2007
CCI,Aug 18 1998
CSX,Nov 3 1980
CMI,Dec 18 1984
CVS,Dec 17 1984
DHI,Jun 5 1992
DHR,Nov 5 1987
DRI,May 9 1995
DVA,Oct 31 1995
DE,Jan 2 1980
DLPH,Nov 17 2011
DAL,May 3 2007
DNR,Sep 6 1995
XRAY,Apr 25 1991
DVN,Mar 17 1992
DO,Oct 11 1995
DTV,Dec 23 2003
DFS,Jun 14 2007
DISCA,Jul 8 2005
